1,3010,"Sony 75"" 4K Curve TV",Electronics / TV's,2995.95,119
2,3019,"Samsung 85"" 4K Curve TV",Electronics / TV's,2499.95,253
3,2475, EA Sports FIFA 17,Electronics / Video Games,74.99,37
4,2401,Rockstar Games GTA,Electronics / Video Games,69.99,9
5,4456,Under Armour Curry 3,Shoes / Athletic,149.95,24
6,4486,Under Armour Curry 2,Shoes / Athletic,97.95,122
7,4811,Nike SF 49ers Authentic Jersey,Sports Team Apparel,149.99,3450
8,4864,Nike SF 49ers Authentic Hat,Sports Team Apparel,24.99,4673
9,4218,Nike Oakland Raiders Authentic Jersey,Sports Team Apparel,79.95,23845
10,4237,Nike Las Vegas Raiders Authentic Jersey,Sports Team Apparel,249.95,3
,,,,,
,,,,,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""110"", ""Sony 75 4K Curve TV"",","Electronics / TV,","2995.95, ""119"");",,,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""119"", ""Samsung 85 4K Curve TV"", ""Electronics / TV"", ""2499.95"", ""153"");",,,,,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""75"",","EA Sports FIFA 17, ""Electronics / Video Games"", ""74.99"", ""37"");",,,,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""41"",","Rockstar Games GTA, ""Electronics / Video Games"", ""69.99"", ""9"");",,,,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""56"",","Under Armour Curry 3,","Shoes / Athletic,","149.95, ""24"");",,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""86"",","Under Armour Curry 2,","Shoes / Athletic,","97.95, ""122"");",,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""81"",","Nike SF 49ers Authentic Jersey, ""Sports Team Apparel"", ""149.99"", ""199"");",,,,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""84"",","Nike SF 49ers Authentic Hat, ""Sports Team Apparel"", ""24.99"", ""198"");",,,,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""4218"", ""Nike Oakland Raiders Authentic Jersey"", ""Sports Team Apparel"",","79.95, ""199"");",,,,
,,,,,
"INSERT INTO products (item_id, product_name, department_name, price, stock_quantity)",,,,,
"VALUES (""4237"",","Nike Las Vegas Raiders Authentic Jersey, ""Sports Team Apparel"", ""249.95"",",3);,,,
